prompt;label;source
Can you describe the process of making honey?;good;AI
What are the benefits of spending time in nature?;good;AI
What are some popular festivals around the world?;good;AI
What are the steps to start a herb garden?;good;AI
What are some ways to improve mental health?;good;AI
What is the weather like today?;good;AI
What are the best books to read this year?;good;AI
Explain the process of photosynthesis in simple terms.;good;AI
What are some tips for improving productivity?;good;AI
How does the stock market work?;good;AI
What are the most popular tourist attractions in Paris?;good;AI
Can you suggest some indoor activities for kids?;good;AI
Explain the concept of gravity.;good;AI
How do I take care of a houseplant?;good;AI
What are the top programming languages to learn in 2023?;good;AI
Can you tell me about the culture in Japan?;good;AI
Explain the water cycle.;good;AI
Can you recommend a good podcast to listen to?;good;AI
How does the human immune system work?;good;AI
What are the most influential inventions of the 21st century?;good;AI
What are the key principles of effective communication?;good;AI
Can you tell me about the history of jazz music?;good;AI
Explain the concept of supply and demand.;good;AI
What are some tips for better sleep hygiene?;good;AI
What are the most common phobias and their causes?;good;AI
Can you recommend a good workout routine for beginners?;good;AI
How does the internet work?;good;AI
What are some ways to save money on groceries?;good;AI
Explain the process of making cheese.;good;AI
How do I care for a pet dog?;good;AI
What are the main causes of climate change?;good;AI
Explain the electoral college system in the U.S.;good;AI
What are some effective ways to learn new skills?;good;AI
Can you tell me about the Great Wall of China?;good;AI
Explain the concept of artificial intelligence.;good;AI
What are some tips for better mental health?;good;AI
Can you recommend a good travel destination for families?;good;AI
How does the human brain function?;good;AI
What are the steps to write a research paper?;good;AI
Explain the importance of recycling.;good;AI
What are some ways to improve memory?;good;AI
Can you suggest some good board games for adults?;good;AI
What are the benefits of a plant-based diet?;good;AI
Explain the process of making wine.;good;AI
What are some tips for effective networking?;good;AI
Can you tell me about the history of the internet?;good;AI
Explain the concept of cryptocurrency.;good;AI
What are some tips for better work-life balance?;good;AI
Can you suggest some good documentaries to watch?;good;AI
What are the benefits of learning to play a musical instrument?;good;AI
Explain the process of making chocolate.;good;AI
How do I create an effective to-do list?;good;AI
What are some ways to stay motivated?;good;AI
Can you tell me about the history of the Olympic Games?;good;AI
How do I start investing in stocks?;good;AI
Explain the concept of renewable energy.;good;AI
What are some tips for better organization at home?;good;AI
Can you recommend a good book for learning coding?;good;AI
How does the human digestive system work?;good;AI
What are the steps to plan a birthday party?;good;AI
Explain the importance of biodiversity.;good;AI
How do I change a tire on a car?;good;AI
Explain the water cycle in simple terms.;good;AI
What is the distance between Earth and the Moon?;good;AI
What are some tips for improving memory?;good;AI
Explain the process of digestion.;good;AI
What is the plot of 'Romeo and Juliet'?;good;AI
What are the different types of clouds?;good;AI
How do I make a cup of tea?;good;AI
What are some famous landmarks in New York City?;good;AI
What is the lifecycle of a butterfly?;good;AI
What are the main functions of the human heart?;good;AI
Explain how the internet works.;good;AI
What are some tips for learning a new language?;good;AI
What is the significance of the Declaration of Independence?;good;AI
What are the stages of human development?;good;AI
What are some popular sports around the world?;good;AI
What is the history of the Olympic Games?;good;AI
Can you recommend a good TV series to watch?;good;AI
Explain the process of mitosis.;good;AI
What are the different types of musical instruments?;good;AI
What is the plot of 'To Kill a Mockingbird'?;good;AI
What are the main components of a computer?;good;AI
Explain the theory of evolution.;good;AI
What are the benefits of yoga?;good;AI
How do I change the oil in my car?;good;AI
What is the history of the Great Wall of China?;good;AI
Can you recommend a good video game to play?;good;AI
How do I learn to play the guitar?;good;AI
What are the different types of renewable energy?;good;AI
Explain the concept of democracy.;good;AI
Explain the process of cellular respiration.;good;AI
What is the history of the Internet?;good;AI
Can you suggest some good board games to play?;good;AI
What are the different types of poetry?;good;AI
Explain the concept of black holes.;good;AI
How do I make a cup of coffee?;good;AI
What are some popular tourist attractions in Japan?;good;AI
What is the plot of '1984' by George Orwell?;good;AI
Can you recommend some good documentaries to watch?;good;AI
What are the main functions of the liver?;good;AI
Explain the concept of quantum mechanics.;good;AI
What is the history of the printing press?;good;AI
Can you suggest some good books for beginners in philosophy?;good;AI
What are the benefits of a good night's sleep?;good;AI
What are the different types of rocks?;good;AI
Explain the concept of plate tectonics.;good;AI
What is the best way to learn a new language?;good;AI
Can you provide tips for improving memory?;good;AI
What are the steps to start a vegetable garden?;good;AI
What are the most common dog breeds?;good;AI
What are some easy yoga poses for beginners?;good;AI
What are the top 10 most spoken languages in the world?;good;AI
What are the basic rules of soccer?;good;AI
Can you provide tips for better sleep?;good;AI
What are some popular types of tea?;good;AI
What are the benefits of reading daily?;good;AI
Can you provide tips for effective studying?;good;AI
Explain the process of recycling.;good;AI
What are the basic principles of photography?;good;AI
Can you suggest some good movies to watch?;good;AI
What are the health benefits of walking?;good;AI
What are the most influential books of all time?;good;AI
Can you provide tips for better communication skills?;good;AI
Explain the concept of blockchain.;good;AI
What are some fun outdoor activities for summer?;good;AI
What are the key differences between cats and dogs?;good;AI
What are some tips for maintaining a healthy work-life balance?;good;AI
Can you provide tips for better time management at work?;good;AI
What are some fun activities for a rainy day?;good;AI
Can you suggest some good podcasts to listen to?;good;AI
What are the most visited cities in the world?;good;AI
Can you provide tips for better parenting?;good;AI
What are the benefits of eating a balanced diet?;good;AI
What are the key features of a good smartphone?;good;AI
Can you suggest some good TV shows to binge-watch?;good;AI
What are some easy ways to reduce waste at home?;good;AI
What are the most popular holidays around the world?;good;AI
What are the top tourist attractions in Paris?;good;AI
What is the capital of Australia?;good;AI
Can you suggest a workout routine for beginners?;good;AI
What is the best way to organize my closet?;good;AI
What are some tips for improving my sleep?;good;AI
What are the most effective study techniques?;good;AI
What are the rules of chess?;good;AI
Can you explain the water cycle?;good;AI
What are some fun indoor activities for kids?;good;AI
What is the process of making cheese?;good;AI
What are some tips for reducing stress?;good;AI
What is the difference between a virus and bacteria?;good;AI
Can you suggest a good TV series to binge-watch?;good;AI
What are the steps to start a blog?;good;AI
What are some fun DIY projects for the weekend?;good;AI
Can you recommend a good restaurant in New York City?;good;AI
How do I take better care of my skin?;good;AI
How do I make a cup of perfect coffee?;good;AI
How do I start learning to play the guitar?;good;AI
Can you recommend a good museum to visit in London?;good;AI
Can you explain the concept of climate change?;good;AI
Can you suggest a good hiking trail near Los Angeles?;good;AI
What are the key principles of design?;good;AI
What are some tips for better communication?;good;AI
What are the most popular programming languages?;good;AI
Can you recommend a good documentary to watch?;good;AI
What is the history of jazz music?;good;AI
Can you explain the concept of artificial intelligence?;good;AI
Can you suggest a good workout for weight loss?;good;AI
What is the process of making beer?;good;AI
Can you recommend a good board game to play with friends?;good;AI
Can you explain the concept of renewable energy?;good;AI
What are the best exercises for beginners?;good;AI
What are some tips for improving sleep?;good;AI
What are the most popular tourist attractions in Italy?;good;AI
What are the steps to plan a vacation?;good;AI
What are the most influential books of the 21st century?;good;AI
What are the top universities in the world?;good;AI
Can you recommend some documentaries to watch?;good;AI
What are the best ways to save money?;good;AI
What are the effects of social media on mental health?;good;AI
What are the most famous paintings in history?;good;AI
What are some tips for effective time management?;good;AI
Explain the process of evolution.;good;AI
What are the health benefits of meditation?;good;AI
Can you suggest some travel tips for beginners?;good;AI
What are the major religions of the world?;good;AI
What are some ways to be more productive?;good;AI
How do I start learning to code?;good;AI
What are the most important historical events in the 20th century?;good;AI
How do I take care of indoor plants?;good;AI
What are the benefits of a healthy diet?;good;AI
Can you suggest some ways to reduce plastic waste?;good;AI
What are the most influential scientists in history?;good;AI
Explain the process of the carbon cycle.;good;AI
How do I learn to draw?;good;AI
What are the benefits of traveling?;good;AI
What are the most important inventions of the last century?;good;AI
Explain the concept of quantum computing.;good;AI
What are some ways to improve teamwork?;good;AI
What are the key components of a healthy lifestyle?;good;AI
What are the most beautiful places in the world?;good;AI
What are some tips for effective learning?;good;AI
What are the benefits of reading?;good;AI
Explain the electoral college system.;good;AI
Explain the process of evaporation.;good;AI
What are some famous landmarks in the United States?;good;AI
Explain the concept of evolution.;good;AI
What are some popular types of dance?;good;AI
Explain the process of respiration.;good;AI
Explain the process of fermentation.;good;AI
What are some tips for stress management?;good;AI
What are the benefits of eating fruits and vegetables?;good;AI
Explain the concept of inflation.;good;AI
What are the steps to learn basic first aid?;good;AI
Explain the process of the rock cycle.;good;AI
What are the different types of art?;good;AI
Explain the process of the nitrogen cycle.;good;AI
How do I take better photographs with my phone?;good;AI
How do I make a budget and stick to it?;good;AI
What are the top movies of this year?;good;AI
What are some good exercises for beginners?;good;AI
What is the significance of Earth Day?;good;AI
What are some popular podcasts to listen to?;good;AI
What are some easy recipes for dinner?;good;AI
What are some common phrases in Spanish?;good;AI
How do I take care of my skin?;good;AI
What are some fun outdoor activities for kids?;good;AI
What is the history of Thanksgiving?;good;AI
What are the top vacation destinations?;good;AI
What are some easy crafts for kids?;good;AI
What is the process of recycling?;good;AI
What are some good habits for a productive day?;good;AI
What are the benefits of learning to play an instrument?;good;AI
What is the importance of hydration?;good;AI
How do I take care of my teeth?;good;AI
What are some tips for better focus?;good;AI
What is the history of Halloween?;good;AI
How do I choose the right backpack for school?;good;AI
What are the benefits of stretching?;good;AI
What are the steps to learning a new language?;good;AI
What are the most influential books of the 20th century?;good;AI
What are the steps to starting a small business?;good;AI
How does the electoral college work in the U.S.?;good;AI
How do I train for a marathon?;good;AI
What are the steps to writing a novel?;good;AI
How do I care for houseplants?;good;AI
What are the causes of air pollution?;good;AI
What are the health benefits of laughter?;good;AI
What are some tips for healthy eating?;good;AI
What are the steps to planning a wedding?;good;AI
What are the key events in ancient Egyptian history?;good;AI
How does the solar system work?;good;AI
What are the steps to painting a room?;good;AI
What are some tips for effective parenting?;good;AI
What are the most famous quotes in history?;good;AI
How do I take care of my mental health?;good;AI
How does the water cycle work?;good;AI
What are the steps to learning to swim?;good;AI
What are the most influential scientific discoveries?;good;AI
What are some tips for sustainable living?;good;AI
How does the human respiratory system work?;good;AI
What are the steps to planning a vacation?;good;AI
What are the benefits of having a hobby?;good;AI
What is the population of Canada?;good;AI
Can you suggest a good workout routine for beginners?;good;AI
What are the causes of global warming?;good;AI
Can you explain the theory of relativity?;good;AI
What are the steps to buying a house?;good;AI
Can you suggest some indoor plants that are easy to care for?;good;AI
What are the health benefits of running?;good;AI
What are some tips for improving concentration?;good;AI
How do I make a cup of good coffee?;good;AI
Can you recommend a good museum to visit?;good;AI
What are the steps to learning how to swim?;good;AI
Can you explain how the human brain works?;good;AI
What is the history of the telephone?;good;AI
What is the process of making chocolate?;good;AI
What are some tips for saving money?;good;AI
What are the steps to learning how to drive?;good;AI
What is the history of the automobile?;good;AI
What is the history of the computer?;good;AI
What are some tips for decluttering my home?;good;AI
What are the different types of dance?;good;AI
What are the steps to learning how to cook?;good;AI
What is the history of photography?;good;AI
What are some tips for improving creativity?;good;AI
What are the most famous sculptures in the world?;good;AI
What is the history of video games?;good;AI
Can you explain how to meditate?;good;AI
What are the steps to start a small garden?;good;AI
Can you recommend some good movies to watch?;good;AI
What is the difference between weather and climate?;good;AI
Can you explain how to play chess?;good;AI
Can you recommend some podcasts for learning history?;good;AI
What are some famous landmarks in Egypt?;good;AI
Can you explain how to knit?;good;AI
What are the steps to paint a room?;good;AI
Can you explain how to play the guitar?;good;AI
Can you suggest some easy crafts for beginners?;good;AI
Can you explain how to use a spreadsheet?;good;AI
What are the steps to write a short story?;good;AI
Can you explain how to do basic car maintenance?;good;AI
Can you suggest some good board games for families?;good;AI
Can you explain how to use a map and compass?;good;AI
What is the process of making paper?;good;AI
Can you explain how to do basic sewing?;good;AI
Can you suggest some good apps for productivity?;good;AI
Can you explain how to use public transportation in a new city?;good;AI
What are some tips for better posture?;good;AI
What is the process of making glass?;good;AI
Can you explain how to do basic first aid?;good;AI
What are the benefits of having pets?;good;AI
What are the top tourist attractions in Italy?;good;AI
What are some good habits for productivity?;good;AI
What are the key features of a smartphone?;good;AI
Explain the process of brewing coffee.;good;AI
What are some good ways to make new friends?;good;AI
What are some tips for better organization?;good;AI
What are some fun activities for kids?;good;AI
What are the steps to starting a blog?;good;AI
What are some good ways to relax?;good;AI
What are the steps to learning how to code?;good;AI
Who wrote 'To Kill a Mockingbird'?;good;AI
What are some popular travel destinations in Asia?;good;AI
What are some common dog breeds and their characteristics?;good;AI
What is the process of photosynthesis?;good;AI
What are the best practices for recycling?;good;AI
What are the basics of playing the guitar?;good;AI
How do I make a good cup of coffee?;good;AI
How do I choose the right laptop for my needs?;good;AI
What are some effective ways to save money?;good;AI
How do I care for a pet fish?;good;AI
What are some popular holiday traditions around the world?;good;AI
How do I start learning to play the piano?;good;AI
What are some tips for better communication skills?;good;AI
What are the basics of knitting?;good;AI
What are some effective ways to declutter my home?;good;AI
What are the benefits of regular dental check-ups?;good;AI
How do I teach my child to swim?;good;AI
What are some easy ways to reduce waste?;good;AI
What are some popular types of music genres?;good;AI
What are the benefits of mindfulness?;good;AI
How do I choose the right insurance plan?;good;AI
What is the history of the Roman Empire?;good;AI
How does the human immune system function?;good;AI
What is the significance of the Magna Carta?;good;AI
What are some good habits for better sleep?;good;AI
What are the key events of World War II?;good;AI
What are the principles of effective communication?;good;AI
What are some strategies for time management?;good;AI
What are the causes and effects of climate change?;good;AI
What is the plot of Shakespeare's 'Hamlet'?;good;AI
What are the steps in the scientific method?;good;AI
What are some effective ways to learn coding?;good;AI
What are the main themes in 'To Kill a Mockingbird'?;good;AI
Can you suggest some exercises for beginners?;good;AI
What are the most influential inventions in history?;good;AI
Can you recommend some travel destinations in Europe?;good;AI
How does the process of evolution work?;good;AI
What is the story behind the Eiffel Tower?;good;AI
What are the principles of good design?;good;AI
How does the global economy function?;good;AI
Can you recommend some documentaries on nature?;good;AI
What are some strategies for conflict resolution?;good;AI
What is the plot of 'Pride and Prejudice'?;good;AI
Can you recommend some books on personal development?;good;AI
How does the process of recycling work?;good;AI
What are some tips for effective negotiation?;good;AI
How do I make a perfect cup of coffee?;good;AI
What are the key principles of photography?;good;AI
What are the most common houseplants?;good;AI
What are the steps to knit a scarf?;good;AI
How does the internet of things (IoT) work?;good;AI
What are the steps to start a YouTube channel?;good;AI
What is the history of rock and roll music?;good;AI
What are some easy ways to stay hydrated?;good;AI
What are the steps to make a quilt?;good;AI
How do I plan a wedding on a budget?;good;AI
What are the benefits of regular stretching?;good;AI
What are the most famous novels of all time?;good;AI
What are the steps to start a community garden?;good;AI
What is the history of cinema?;good;AI
Can you explain the electoral college?;good;AI
What are the main religions of the world?;good;AI
What are some famous landmarks in the world?;good;AI
Explain how the human brain works.;good;AI
What are some common symptoms of the flu?;good;AI
How can I reduce stress in my daily life?;good;AI
What are some tips for taking better photographs?;good;AI
What is the importance of recycling?;good;AI
What are some common phobias and their causes?;good;AI
What is the importance of sleep for health?;good;AI
Can you explain the concept of blockchain?;good;AI
How do I train for a 5K run?;good;AI
What are some fun science experiments for kids?;good;AI
How does the process of brewing beer work?;good;AI
Can you suggest some ways to decorate a small apartment?;good;AI
How do I choose the right plants for my garden?;good;AI
How does the process of making chocolate work?;good;AI
What are some common home remedies for a cold?;good;AI
How does the process of making maple syrup work?;good;AI
Can you suggest some ways to celebrate a birthday on a budget?;good;AI
What are the main events of World War II?;good;AI
What are the key events in the American Revolution?;good;AI
Explain the human respiratory system.;good;AI
How do I care for a pet cat?;good;AI
What are the advantages of electric cars?;good;AI
What are the best ways to stay hydrated?;good;AI
What are the benefits of a balanced diet?;good;AI
What are some famous paintings and their artists?;good;AI
What are the steps to learn playing the guitar?;good;AI
Explain the human circulatory system.;good;AI
Can you recommend some good TV shows to watch?;good;AI
What are the best ways to improve memory?;good;AI
Explain the process of composting.;good;AI
What are the most popular genres of music?;good;AI
What are the top movies of the year?;good;AI
What are the top programming languages to learn?;good;AI
What are the best ways to learn coding?;good;AI
What are the best ways to learn mathematics?;good;AI
What are the most important inventions in history?;good;AI
What are some popular TV shows to watch?;good;AI
What are the benefits of learning music?;good;AI
Who painted the Mona Lisa?;good;AI
What is the distance between the Earth and the Moon?;good;AI
What are the most popular programming languages in 2023?;good;AI
Who invented the telephone?;good;AI
What are some famous landmarks in Italy?;good;AI
Who was the first person to walk on the Moon?;good;AI
Who composed the 'Moonlight Sonata'?;good;AI
What are some easy exercises for beginners?;good;AI
Who was the first woman to win a Nobel Prize?;good;AI
Who invented the light bulb?;good;AI
What are the rules of basketball?;good;AI
What is the process of making bread?;good;AI
What are some famous museums in the world?;good;AI
Who was the first president of the United States?;good;AI
What are some tips for maintaining a healthy diet?;good;AI
What are the rules of tennis?;good;AI
What is the process of making ice cream?;good;AI
How do I choose the right smartphone?;good;AI
How does the human circulatory system work?;good;AI
What are the steps to sew a button?;good;AI
Who was the first female astronaut?;good;AI
What are the different types of trees?;good;AI
What are some tips for staying motivated?;good;AI
Who invented the airplane?;good;AI
What are the rules of baseball?;good;AI
What is the process of making yogurt?;good;AI
How do I choose the right pair of glasses?;good;AI
What is the best way to clean my kitchen?;good;AI
What is the process for applying to college?;good;AI
What is the best way to declutter my home?;good;AI
What is the process for adopting a pet?;good;AI
What is the best way to travel on a budget?;good;AI
Can you suggest some easy crafts to make at home?;good;AI
What is the best way to learn coding?;good;AI
What are the causes of the American Revolution?;good;AI
How do I train my dog to follow basic commands?;good;AI
What are the symptoms of vitamin D deficiency?;good;AI
How does the human brain process emotions?;good;AI
What are the most effective ways to learn math?;good;AI
What are some tips for improving sleep quality?;good;AI
What are some easy home workouts for beginners?;good;AI
How does the human heart function?;good;AI
What are some ways to celebrate a birthday on a budget?;good;AI
What are some tips for writing a cover letter?;good;AI
Can you recommend some educational apps for kids?;good;AI
Can you explain the process of making beer?;good;AI
What are the benefits of practicing gratitude?;good;AI
What are some easy ways to reduce energy consumption at home?;good;AI
What are the steps to start a business?;good;AI
Can you explain the rules of soccer?;good;AI
What is the significance of the Great Wall of China?;good;AI
Can you explain the rules of chess?;good;AI
What are the different types of clouds and their meanings?;good;AI
What is the significance of the Mona Lisa?;good;AI
What are some popular tourist attractions in the United States?;good;AI
How do I teach my dog to fetch?;good;AI
Can you explain the rules of basketball?;good;AI
Explain how a computer works in simple terms.;good;AI
How do I meditate for beginners?;good;AI
Explain the theory of evolution in simple terms.;good;AI
What are some fun outdoor games for families?;good;AI
What are some tips for safe driving?;good;AI
How do I choose the right career path?;good;AI
Explain the concept of time zones.;good;AI
What are the benefits of gardening?;good;AI
Explain the process of making paper.;good;AI
What is the history of the bicycle?;good;AI
Can you recommend a good TV series to binge-watch?;good;AI
What is the importance of voting in elections?;good;AI
Can you explain the concept of gravity?;good;AI
Can you suggest some ways to reduce stress?;good;AI
What is the role of the United Nations?;good;AI
Can you suggest some ways to save money?;good;AI
What are the key principles of sustainable living?;good;AI
What is the process of making honey?;good;AI
Can you suggest some ways to stay motivated?;good;AI
What are the benefits of practicing mindfulness?;good;AI
What are some common symptoms of allergies?;good;AI
What is the process of making maple syrup?;good;AI
How do I choose the right laptop?;good;AI
What are some effective ways to learn math?;good;AI
What are the steps to plan a road trip?;good;AI
How do I choose the right bicycle?;good;AI
What is blockchain technology?;good;AI
What are the benefits of solar energy?;good;AI
How do I choose a good pair of running shoes?;good;AI
What is the weather today?;good;AI
What are some good books to read?;good;AI
Explain the process of photosynthesis.;good;AI
What time is it in New York?;good;AI
What are the benefits of exercise?;good;AI
What are the best ways to learn a new language?;good;AI
What is the meaning of life?;good;AI
Can you help me plan a trip to Japan?;good;AI
Can you suggest a good recipe for lasagna?;good;AI
What is the function of the human heart?;good;AI
Can you suggest a good workout for beginners?;good;AI
What are the most influential books in history?;good;AI
What are some common myths and facts about nutrition?;good;AI
What is the structure of the Earth?;good;AI
What are the top inventions of the 21st century?;good;AI
Can you recommend a good restaurant in Paris?;good;AI
What are the effects of sugar on the body?;good;AI
What are some indoor activities for kids?;good;AI
What are the most important vitamins and minerals?;good;AI
Explain the Big Bang theory.;good;AI
What are the effects of caffeine on the body?;good;AI
Explain the process of meiosis.;good;AI
What is the process of making coffee?;good;AI
What are the major events in World War II?;good;AI
What is the difference between climate and weather?;good;AI
What are the most visited tourist attractions in the world?;good;AI
What are some easy crafts for beginners?;good;AI
What is the difference between a hurricane and a tornado?;good;AI
What are the steps to learn basic coding?;good;AI
What are the health benefits of eating fruits and vegetables?;good;AI
Can you explain the process of digestion?;good;AI
What are the most famous landmarks in Europe?;good;AI
Can you suggest some good apps for learning a new skill?;good;AI
What is the difference between a novel and a short story?;good;AI
Can you recommend a good museum to visit in Paris?;good;AI
What are the steps to start composting at home?;good;AI
Can you suggest some good books for children?;good;AI
What are some fun activities to do on a rainy day?;good;AI
What are some popular tourist attractions in Paris?;good;AI
Explain the basics of photosynthesis.;good;AI
What is the capital of Canada?;good;AI
Can you suggest a simple workout routine for beginners?;good;AI
Explain the rules of soccer.;good;AI
Can you provide a recipe for homemade pizza?;good;AI
Can you provide a recipe for a smoothie?;good;AI
Can you recommend a good restaurant in my area?;good;AI
Can you suggest a good documentary to watch?;good;AI
What are the main components of a healthy diet?;good;AI
Explain the process of photosynthesis in detail.;good;AI
Can you provide tips for better communication?;good;AI
Can you recommend a good book for children?;good;AI
What are the key events of the American Civil War?;good;AI
Explain the concept of blockchain technology.;good;AI
Can you suggest a good video game to play?;good;AI
What are some famous quotes and their authors?;good;AI
Can you provide a recipe for homemade soup?;good;AI
What is the importance of biodiversity?;good;AI
What are the stages of sleep?;good;AI
Explain the concept of relativity.;good;AI
What are the steps to start a garden?;good;AI
How do I take care of houseplants?;good;AI
Can you suggest some outdoor activities for kids?;good;AI
What are the different types of government?;good;AI
Explain the process of making bread.;good;AI
What are the different types of dances?;good;AI
Can you suggest some educational games for children?;good;AI
What are the major discoveries in space exploration?;good;AI
How do I make a cup of hot chocolate?;good;AI
What are the steps to learn photography?;good;AI
What is the difference between stocks and bonds?;good;AI
What is the storyline of 'Pride and Prejudice'?;good;AI
What are some good movies to watch?;good;AI
How do I prepare for a marathon?;good;AI
What are the health benefits of green tea?;good;AI
What are some popular vacation spots in Europe?;good;AI
What is the plot of 'The Great Gatsby'?;good;AI
What is the storyline of 'The Hobbit'?;good;AI
What are some easy ways to reduce stress?;good;AI
Explain the process of making coffee.;good;AI
What are some common cat breeds and their traits?;good;AI
What are some fun outdoor activities for families?;good;AI
Explain the human digestive system.;good;AI
What are some basic yoga poses for beginners?;good;AI
What are some easy exercises for seniors?;good;AI
What are some common houseplants and their care tips?;good;AI
Explain the structure of an atom.;good;AI
How do I make a peanut butter and jelly sandwich?;good;AI
Explain the water purification process.;good;AI
What are some common types of flowers and their meanings?;good;AI
What are some popular types of dances?;good;AI
How do I care for a new puppy?;good;AI
Can you provide tips for public speaking?;good;AI
What is the process of recycling paper?;good;AI
What are the benefits of reading to children?;good;AI
How do I sew a button on a shirt?;good;AI
Can you suggest some educational apps for kids?;good;AI
What are some tips for traveling with pets?;good;AI
How do I care for a sunburn?;good;AI
Can you suggest some ways to improve memory?;good;AI
What are some tips for first-time homebuyers?;good;AI
How do I care for a cut or scrape?;good;AI
What are some popular museums to visit in Europe?;good;AI
Can you suggest some tips for better sleep?;good;AI
What are some ways to stay motivated while working from home?;good;AI
What are the top programming languages in 2023?;good;AI
What are some famous landmarks in Paris?;good;AI
What are some common gardening mistakes to avoid?;good;AI
What is the importance of voting?;good;AI
What are some benefits of volunteering?;good;AI
What is the importance of teamwork?;good;AI
How do I choose the right paint color for my room?;good;AI
What are some benefits of learning to play an instrument?;good;AI
What is the importance of setting goals?;good;AI
What is the difference between a novel and a novella?;good;AI
What are some common mistakes to avoid when cooking?;good;AI
How do I choose the right backpack for hiking?;good;AI
What are some benefits of journaling?;good;AI
What are some tips for better productivity?;good;AI
How do I reduce stress in daily life?;good;AI
What are some common flowers and their meanings?;good;AI
What are some common herbs and their uses?;good;AI
